Year,Policy / Instrument,Level,Sector / Domain,Instrument type,Behavioural mechanism,Key target / provision,Direction of impact,Status / outcome,Trade-offs / notes
2019,National Energy & Climate Plan 2021–2030 (NECP),National,Energy & climate,Strategic / planning,Planning,First NECP; committed to ~7% average annual emissions cut 2021–2030.,Reduce,Updated 2024,Translates EU governance regulation into national trajectory.
2019,Climate Case Ireland (Supreme Court ruling 2020),National,Cross-cutting (legal),Regulatory,Judicial,Friends of the Irish Environment v Government; quashed 2017 National Mitigation Plan (decided July 2020).,Reduce,Catalysed 2021 Climate Act,Demonstrated litigation as a policy driver.
2020,Programme for Government 2020,National,Cross-cutting,Strategic / planning,Political commitment,Committed to 7% average annual emissions reduction and stronger climate law.,Reduce,Delivered via 2021 Act,Raised ambition above the then-current EU effort-sharing path.
2020,Ag Climatise — agriculture roadmap,National,Agriculture,Strategic / planning,Sectoral roadmap,Roadmap toward climate neutrality for agriculture; 'living document'.,Reduce,Implementation ongoing,First clear pivot of agri-policy toward emissions reduction.
2021,European Climate Law (EU) 2021/1119,EU,Cross-cutting,Framework / Regulatory,Binding target,Legally binds EU to net-zero by 2050 and net −55% by 2030 vs 1990.,Reduce,In force,Raised the EU-wide target that flows into Ireland's obligations.
2021,Fit for 55 package (adopted 2023),EU,Cross-cutting,Regulatory / Market-based,Mixed instruments,"13+ revised laws to hit −55% by 2030: revised ESR (Ireland −42% vs 2005), LULUCF (EU 310 Mt net removals), ETS reform, ETS2 (buildings & road transport, 2027), CBAM (from 2026), RED III.",Reduce,Phased entry into force 2023–2027,Tightens Ireland's 2030 obligation from −30% to −42%.
2021,Climate Action & Low Carbon Development (Amendment) Act 2021,National,Cross-cutting,Framework / Regulatory,Binding statutory framework,National climate objective: climate-neutral economy by 2050; −51% by 2030 vs 2018; 5-yr carbon budgets; sectoral emissions ceilings. Commenced Sep 2021.,Reduce,Cornerstone law; binding governance in place,Projections still show ~29% vs 51% — implementation gap.
2021,Climate Action Plan 2021 (Securing Our Future),National,All sectors,Strategic / planning,Sectoral pathways,First CAP under the 2021 Act; sectoral pathways to −51% by 2030.,Reduce,Updated annually thereafter,Bridge to legally binding budgets adopted in 2022.
2021,Food Vision 2030,National,Agriculture,Strategic / planning,Sectoral strategy,10-yr agri-food strategy; aims for a climate-neutral food system.,Mixed,Implementation ongoing,"Reframes earlier growth-first strategies toward sustainability, but tensions remain."
2022,Carbon Budgets & Sectoral Emissions Ceilings,National,All sectors,Framework / Regulatory,Binding caps,Carbon budgets effective Apr 2022 (2021–25; 2026–30; 2031–35); sectoral ceilings adopted Jul 2022 (e.g. agriculture −25% by 2030).,Reduce,2021–2024 used ~81% of first 295 Mt budget,First time sectors hold legally framed shares of the effort.
2023,Climate Action Plan 2023,National,All sectors,Strategic / planning,Sectoral actions,First statutory annual CAP; aligns actions with carbon budgets & ceilings.,Reduce,Annual review cycle,Begins legally required annual updating.
2023,Climate Action Plan 2024 (published Dec 2023),National,All sectors,Strategic / planning,Sectoral actions,Refines measures to deliver budgets & ceilings.,Reduce,In implementation,Builds on CAP23.
2024,Updated NECP 2021–2030 (Jul 2024),National,Energy & climate,Strategic / planning,Planning,Renewables share raised to 43% by 2030; renewable electricity (RES-E) 80% by 2030.,Reduce,Submitted to EU,Aligns national plan with raised EU renewables ambition.
2024,"Infrastructure, Climate & Nature Fund (Budget 2024)",National,Cross-cutting (finance),Fiscal,Investment fund,"Long-term fund (€4bn by end-2025) for emissions, water-quality & biodiversity projects.",Reduce,Capitalising,Channels fiscal surplus into decarbonisation & nature.
2025,Climate Action Plan 2025 (published Apr 2025),National,All sectors,Strategic / planning,Sectoral actions,Third statutory annual update; read with CAP24; detailed implementation focus.,Reduce,Current plan,Latest roadmap to halve emissions by 2030.
